text_tokens,Compound_Score,Sentiments
bojonegoro city icon,0.0,Netral
quiet,0.0,Netral
village family place,0.0,Netral
legacy of the master's history,0.0,Netral
"an exciting place for nature to open the forest, really good, the price for entering the net is good, the net is smooth",0.8516,Positif
natural growing tourism,0.4939,Positif
"cool teg, easy access for motorbikes, reasonable fees, prayer room for toilets",0.6369,Positif
"cheap tours in Bojonegoro, a barren area, it's hot, you know",0.0,Netral
pretty good,0.7269,Positif
good,0.4404,Positif
one of Bojonegoro's eternal flame tours that uses torches for the spirit of ASI games,0.1779,Positif
"change the special highlights of the eternal fire, how delicious it is to have a warm night, the body is roasted corn, eternal fire directly",0.5423,Positif
trade order,0.0,Netral
clear night atmosphere,0.3818,Positif
"It's good to relax, the toilets are clean, the prayer room, you know, Kayangan Api, a historical site that is the Bojonegoro icon, the people from the area here are amazed by the eternal fire.",0.8519,Positif
suitable photo with natural fire background,0.0258,Positif
"reliable tourism, Bojonegoro, where natural tourism, cultural history, natural phenomenon, eternal flame, burning fire, conditions, what is the unique phenomenon, the tapa of the forged keris of the Kayangan Api era, renovation of rupi unjung, comfortable shady area, pepoho, complete facilities, comfortable entrance ticket, Rp, motorbike parking, Rp",0.8481,Positif
child play,0.34,Positif
