text_tokens,klasifikasi,Compound_Score,Sentiments
the flying fox is exciting,positif,0.4939,positif
sacred place,netral,0.0,netral
the location is good at night unfortunately the parking attendant is friendly,negatif,0.5719,positif
bojonegoro natural tourism roasted corn directly by natural fire,netral,0.3818,positif
convenient easy access spacious parking like here,positif,0.6597,positif
comfortable,netral,0.5106,positif
good,positif,0.4404,positif
eternal flame located in the middle of the forest take active fire sports,netral,0.0772,positif
take good fire mystical aura,positif,0.128,positif
comfortable beautiful dear access to provincial roads,netral,0.8689,positif
natural tourism,netral,0.3612,positif
reasonable,netral,0.0,netral
bojonegoro city icon,netral,0.0,netral
quiet,netral,0.0,netral
village family place,netral,0.0,netral
legacy of the master s history,netral,0.0,netral
an exciting place for nature to open the forest really good the price for entering the net is good the net is smooth,netral,0.8516,positif
natural growing tourism,netral,0.4939,positif
cool teg easy access for motorbikes reasonable fees prayer room for toilets,positif,0.6369,positif
cheap tours in bojonegoro a barren area it s hot you know,netral,0.0,netral
pretty good,positif,0.7269,positif
good,positif,0.4404,positif
one of bojonegoro s eternal flame tours that uses torches for the spirit of asi games,netral,0.1779,positif
change the special highlights of the eternal fire how delicious it is to have a warm night the body is roasted corn eternal fire directly,netral,0.5423,positif
trade order,netral,0.0,netral
clear night atmosphere,netral,0.3818,positif
it s good to relax the toilets are clean the prayer room you know kayangan api a historical site that is the bojonegoro icon the people from the area here are amazed by the eternal fire,negatif,0.8519,positif
suitable photo with natural fire background,netral,0.0258,positif
reliable tourism bojonegoro where natural tourism cultural history natural phenomenon eternal flame burning fire conditions what is the unique phenomenon the tapa of the forged keris of the kayangan api era renovation of rupi unjung comfortable shady area pepoho complete facilities comfortable entrance ticket rp motorbike parking rp,netral,0.8481,positif
child play,netral,0.34,positif
